labeled_object.ordinal,labeled_object.onset,labeled_object.offset,labeled_object.object,labeled_object.utterance_type,labeled_object.object_present,labeled_object.speaker,labeled_object.basic_level
0,13677,14684,fish,d,n,MOT,fish
1,14777,16235,fish+guts,d,n,MOT,NA
2,17444,18403,fish+pieces,d,y,MOT,fish
3,85964,87545,xylophone,q,y,MOT,xylophone
4,94005,95243,xylophone,q,y,MOT,xylophone
5,114761,115004,socks,d,y,MOT,sock
6,115005,116060,slippers,d,y,MOT,slipper
7,117984,119822,socks,q,y,MOT,sock
8,119823,120844,slippers,q,y,MOT,slipper
9,125406,126191,feet,d,y,MOT,foot
10,130692,131438,socks,q,y,MOT,sock
11,131439,132593,slippers,q,y,MOT,slipper
12,151695,152987,socks,q,y,MOT,sock
13,153142,154472,slippers,q,y,MOT,slipper
14,165111,166132,feet,q,y,MOT,foot
15,167452,168893,feet,i,y,MOT,foot
16,174701,176156,picture,d,y,MOT,NA
17,182648,183875,slippers,d,n,MOT,slipper
18,185036,186185,feet,d,y,MOT,foot
19,279234,281278,balloon,n,n,MOT,balloon
20,292069,293759,umbrella,d,n,MOT,umbrella
21,293760,294843,fence,d,n,MOT,fence
22,318236,319320,leg,q,y,MOT,leg
23,327011,328157,face,q,n,MOT,face
24,335419,336665,fish,n,y,MOT,fish
25,336558,338909,fish,n,y,MOT,fish
26,338910,341110,fishy+fishy,n,y,MOT,fish
27,341111,342275,dog,q,n,MOT,dog
28,343204,344259,doggy,q,n,MOT,dog
29,350651,352199,blanky,d,y,MOT,blanket
30,352510,353934,blanket,d,y,MOT,blanket
31,359924,361690,snacks,q,y,MOT,NA
32,377350,378186,head,d,n,MOT,head
33,378838,380192,head,d,n,MOT,head
34,383727,384842,camera,d,y,MOT,camera
35,392089,392896,head,d,n,MOT,head
36,398404,399596,head,q,y,MOT,head
37,421122,422300,picture,d,n,MOT,NA
38,433407,434488,taxi,n,y,MOT,taxi
39,435966,437051,airplane,q,y,MOT,airplane
40,437828,439160,airplane,i,y,MOT,airplane
41,471827,473282,airplane,q,y,MOT,airplane
42,491064,492271,airplane,i,n,MOT,airplane
43,535567,536557,water,q,y,MOT,water
44,542026,543109,water,q,y,MOT,water
45,572487,573911,water,q,n,MOT,water
46,581084,581981,ipad,d,n,MOT,ipad
47,599527,601293,hair,s,n,MOT,hair
48,607000,607866,toy,q,n,MOT,NA
49,660387,661254,taxi,d,y,MOT,taxi
50,707039,708203,toes,i,y,MOT,toe
51,722938,724984,house,d,n,MOT,house
52,768091,769732,hands,i,y,MOT,hand
53,799235,800256,knees,q,y,MOT,knee
54,814536,815858,knees,d,y,MOT,knee
55,845020,845949,camera,q,y,MOT,camera
56,856624,858263,headband,d,y,MOT,headband
